TREATMENT,_TYPE_,_FREQ_,ENROLL_25,DOUBLE_MAJOR,MATH_SCIENCE_MAJOR,ENGINEERING_MAJOR,BUSINESS_MAJOR,HUMANITIES_MAJOR,SOCIAL_SCIENCE_MAJOR,PRELAW_MAJOR,EVER_PELL_RECIPIENT,FEMALE,ASIAN,BLACK,HISPANIC,U_GPA,TERMS_TO_COMPLETION_FYE,SATIM,SATIV,INCOME2006,PARENT_GRAD_SCHOOL,TR,FP
,1,4138,0.3641855969,0.1152730788,0.2293378444,0.119139681,0.07684871919,0.2213629773,0.4006766554,0.01546640889,0.5091831803,0.6092315128,0.4429676172,0.02779120348,0.1413726438,3.17679797,4.154422426,609.482842,572.7380377,56791.03375,0.2834702755,2,1
,1,4150,0.3542168675,0.1118072289,0.1961445783,0.1171084337,0.08385542169,0.2315662651,0.4163855422,0.01590361446,0.5631325301,0.6286746988,0.4310843373,0.03445783133,0.1679518072,3.123983133,4.16313253,599.2409639,561.1903614,54506.25074,0.2479518072,3,1
,1,4167,0.3501319894,0.1276697864,0.2191024718,0.13174946,0.07151427886,0.2299016079,0.4096472282,0.01439884809,0.5879529638,0.6061915047,0.4185265179,0.03359731222,0.1720662347,3.11399808,4.235901128,604.7228222,569.4576434,53168.48826,0.2435805136,4,1
,1,4131,0.3267973856,0.1660614863,0.2137496974,0.1452432825,0.05785524086,0.2411038489,0.4112805616,0.01888162672,0.721859114,0.5829097071,0.4141854273,0.05543451949,0.2127814089,3.024708303,4.515734689,592.8976035,556.2914549,41231.98662,0.1970467199,5,1
0,2,21469,0.3897712982,0.1215240579,0.2428618007,0.1615818156,0.07238343658,0.2130513764,0.3613582375,0.01234337883,0.09744282454,0.5456239229,0.3601937678,0.01173785458,0.05393823653,3.263070474,4.140931886,648.7814989,610.8412129,135401.7719,0.5340723834,,1
1,2,20757,0.3532302356,0.1273305391,0.222141928,0.1299320711,0.07106036518,0.2275376981,0.4048272872,0.01498289734,0.552006552,0.6028809558,0.42886737,0.03444621092,0.1627402804,3.124183167,4.251682163,605.7296334,568.2295129,55626.55302,0.2619357325,,1
0,3,21469,0.3897712982,0.1215240579,0.2428618007,0.1615818156,0.07238343658,0.2130513764,0.3613582375,0.01234337883,0.09744282454,0.5456239229,0.3601937678,0.01173785458,0.05393823653,3.263070474,4.140931886,648.7814989,610.8412129,135401.7719,0.5340723834,0,1
1,3,4171,0.3706545193,0.1160393191,0.2522176936,0.1364181251,0.06521217933,0.2138575881,0.3862383122,0.01030927835,0.379285543,0.5873891153,0.4375449532,0.02109805802,0.1198753297,3.180879885,4.190521857,622.176936,581.3569887,72298.17683,0.337089427,1,1
1,3,4138,0.3641855969,0.1152730788,0.2293378444,0.119139681,0.07684871919,0.2213629773,0.4006766554,0.01546640889,0.5091831803,0.6092315128,0.4429676172,0.02779120348,0.1413726438,3.17679797,4.154422426,609.482842,572.7380377,56791.03375,0.2834702755,2,1
1,3,4150,0.3542168675,0.1118072289,0.1961445783,0.1171084337,0.08385542169,0.2315662651,0.4163855422,0.01590361446,0.5631325301,0.6286746988,0.4310843373,0.03445783133,0.1679518072,3.123983133,4.16313253,599.2409639,561.1903614,54506.25074,0.2479518072,3,1
1,3,4167,0.3501319894,0.1276697864,0.2191024718,0.13174946,0.07151427886,0.2299016079,0.4096472282,0.01439884809,0.5879529638,0.6061915047,0.4185265179,0.03359731222,0.1720662347,3.11399808,4.235901128,604.7228222,569.4576434,53168.48826,0.2435805136,4,1
1,3,4131,0.3267973856,0.1660614863,0.2137496974,0.1452432825,0.05785524086,0.2411038489,0.4112805616,0.01888162672,0.721859114,0.5829097071,0.4141854273,0.05543451949,0.2127814089,3.024708303,4.515734689,592.8976035,556.2914549,41231.98662,0.1970467199,5,1
